Couleur: B, Déplacement: D2 -> C3
Couleur: R, Déplacement: B4 -> C4
Couleur: B, Déplacement: E3 -> D4
Couleur: R, Déplacement: A4 -> B3
Couleur: B, Déplacement: D1 -> D2
Couleur: R, Déplacement: D7 -> E6
Couleur: B, Déplacement: F4 -> E4
Couleur: R, Déplacement: C6 -> D5
Couleur: B, Déplacement: G4 -> F5
Couleur: R, Déplacement: B3 -> C2
Couleur: B, Déplacement: E1 -> D1
Couleur: R, Déplacement: C4 -> D3
Couleur: B, Déplacement: F3 -> E3
Couleur: R, Déplacement: D5 -> E5
Couleur: B, Déplacement: G3 -> F4
Couleur: R, Déplacement: B5 -> C4
Couleur: B, Déplacement: F2 -> F3
Couleur: R, Déplacement: B6 -> C6
Couleur: B, Déplacement: D4 -> D5
Couleur: R, Déplacement: A5 -> B4
Couleur: B, Déplacement: G2 -> G3
